id,label,ts_in,ts_out,dim_0,dim_1
1,customer-1,196,262,161,158
2,customer-2,205,260,172,227
3,customer-3,77,83,86,136
4,customer-4,174,218,86,199
5,customer-5,206,290,7,212
6,customer-6,117,163,197,76
7,customer-7,221,246,165,109
8,customer-8,194,213,120,243
9,customer-9,149,239,179,185
10,customer-10,51,68,150,241
11,customer-11,80,173,226,269
12,customer-12,105,148,16,211
13,customer-13,64,149,15,78
14,customer-14,167,183,159,251
15,customer-15,211,272,108,212
16,customer-16,139,199,23,51
17,customer-17,186,236,65,76
18,customer-18,208,263,165,156
19,customer-19,132,132,142,45
20,customer-20,152,233,58,97
21,customer-21,84,163,203,65
22,customer-22,127,144,180,54
23,customer-23,45,113,41,159
24,customer-24,167,243,83,151
25,customer-25,214,280,254,212
26,customer-26,84,104,120,167
27,customer-27,204,224,233,117
28,customer-28,45,85,107,71
29,customer-29,122,191,68,91
30,customer-30,38,60,155,156
31,customer-31,266,316,106,20
32,customer-32,129,133,52,146
33,customer-33,161,242,92,40
34,customer-34,161,202,69,58
35,customer-35,228,239,113,76
36,customer-36,107,178,125,54
37,customer-37,161,167,245,64
38,customer-38,31,88,214,231
39,customer-39,180,199,64,46
40,customer-40,24,112,56,111
41,customer-41,180,243,167,195
42,customer-42,98,176,98,165
43,customer-43,65,135,131,41
44,customer-44,75,151,136,132
45,customer-45,213,225,132,33
46,customer-46,50,98,21,120
47,customer-47,198,251,198,89
48,customer-48,86,140,192,214
49,customer-49,202,273,203,180
50,customer-50,28,65,176,96
51,customer-51,203,266,204,84
52,customer-52,151,201,97,208
53,customer-53,44,87,212,208
54,customer-54,85,170,155,177
55,customer-55,126,188,53,155
56,customer-56,216,255,172,179
57,customer-57,107,165,181,71
58,customer-58,74,139,165,206
59,customer-59,232,322,26,45
60,customer-60,150,162,105,57
61,customer-61,159,249,38,45
62,customer-62,92,116,211,136
63,customer-63,156,202,126,9
64,customer-64,182,223,96,204
65,customer-65,28,122,85,151
66,customer-66,78,152,232,61
67,customer-67,220,260,110,205
68,customer-68,95,120,38,69
69,customer-69,53,147,196,56
70,customer-70,15,27,31,181
71,customer-71,171,247,36,78
72,customer-72,44,66,202,55
73,customer-73,134,163,134,205
74,customer-74,124,159,130,176
75,customer-75,39,127,210,137
76,customer-76,207,241,204,144
77,customer-77,86,121,186,77
78,customer-78,72,168,67,171
79,customer-79,221,292,153,126
80,customer-80,73,102,182,179
81,customer-81,83,87,237,45
82,customer-82,191,237,84,6
83,customer-83,67,113,69,159
84,customer-84,146,170,128,73
85,customer-85,211,264,246,136
86,customer-86,173,259,36,156
87,customer-87,189,225,40,88
88,customer-88,104,162,34,14
89,customer-89,171,257,99,190
90,customer-90,103,189,160,188
91,customer-91,24,85,49,185
92,customer-92,79,131,27,140
93,customer-93,44,131,75,248
94,customer-94,81,134,20,15
95,customer-95,24,43,205,97
96,customer-96,64,66,124,138
97,customer-97,234,312,67,79
98,customer-98,48,132,213,127
99,customer-99,87,184,20,129
100,customer-100,132,138,144,59
