id,label,ts_in,ts_out,dim_0,dim_1
1,customer-1,162,167,136,136
2,customer-2,38,85,199,24
3,customer-3,115,190,122,139
4,customer-4,122,200,88,184
5,customer-5,184,228,157,80
6,customer-6,134,188,208,188
7,customer-7,172,191,138,244
8,customer-8,19,27,126,294
9,customer-9,195,212,125,72
10,customer-10,176,218,143,7
11,customer-11,90,167,165,42
12,customer-12,51,132,53,173
13,customer-13,182,238,165,112
14,customer-14,234,315,158,181
15,customer-15,58,115,54,214
16,customer-16,135,163,196,253
17,customer-17,87,118,99,164
18,customer-18,225,253,89,108
19,customer-19,148,221,149,46
20,customer-20,207,232,164,81
21,customer-21,113,186,166,117
22,customer-22,26,93,130,56
23,customer-23,172,201,189,119
24,customer-24,41,100,167,29
25,customer-25,206,222,150,138
26,customer-26,37,53,92,80
27,customer-27,94,149,8,89
28,customer-28,42,122,129,144
29,customer-29,161,226,185,34
30,customer-30,177,185,94,75
31,customer-31,55,58,156,13
32,customer-32,100,181,245,124
33,customer-33,180,181,34,195
34,customer-34,45,134,93,125
35,customer-35,167,171,159,98
36,customer-36,89,92,183,25
37,customer-37,37,58,100,182
38,customer-38,127,147,30,179
39,customer-39,163,242,99,114
40,customer-40,162,236,172,88
41,customer-41,91,179,121,243
42,customer-42,239,256,123,85
43,customer-43,207,238,165,178
44,customer-44,208,297,103,124
45,customer-45,147,196,76,138
46,customer-46,222,307,64,118
47,customer-47,68,95,14,173
48,customer-48,185,188,114,171
49,customer-49,66,67,118,70
50,customer-50,207,207,158,137
51,customer-51,73,140,4,95
52,customer-52,214,285,118,163
53,customer-53,72,77,214,128
54,customer-54,202,292,185,62
55,customer-55,216,279,79,151
56,customer-56,189,242,101,177
57,customer-57,257,302,136,42
58,customer-58,166,236,90,88
59,customer-59,166,179,29,191
60,customer-60,125,141,31,108
61,customer-61,96,153,142,123
62,customer-62,156,195,65,131
63,customer-63,64,157,134,208
64,customer-64,176,252,23,113
65,customer-65,178,209,137,50
66,customer-66,200,243,232,151
67,customer-67,96,129,197,181
68,customer-68,48,130,56,78
69,customer-69,143,227,92,102
70,customer-70,113,191,49,158
71,customer-71,207,284,139,31
72,customer-72,16,77,4,113
73,customer-73,109,191,35,33
74,customer-74,101,135,31,211
75,customer-75,94,137,14,184
76,customer-76,171,225,85,103
77,customer-77,43,124,92,22
78,customer-78,71,116,183,23
79,customer-79,214,239,198,32
80,customer-80,117,205,112,104
