id,label,ts_in,ts_out,dim_0,dim_1
1,product-1,118,184,85,162
2,product-2,132,180,152,3
3,product-3,114,120,241,86
4,product-4,119,154,156,91
5,product-5,82,102,156,139
6,product-6,81,92,59,128
7,product-7,156,248,172,253
8,product-8,124,158,246,58
9,product-9,190,249,128,114
10,product-10,43,112,116,57
11,product-11,164,220,148,155
12,product-12,141,196,41,120
13,product-13,80,156,192,63
14,product-14,134,215,225,138
15,product-15,21,58,145,117
16,product-16,91,159,160,205
17,product-17,52,143,189,215
18,product-18,32,87,82,228
19,product-19,66,81,33,225
20,product-20,145,187,231,71
21,product-21,100,166,205,159
22,product-22,112,164,46,168
23,product-23,42,125,192,174
24,product-24,38,71,85,48
25,product-25,4,76,224,36
26,product-26,144,239,59,110
27,product-27,204,300,68,116
28,product-28,80,138,43,164
29,product-29,181,245,218,137
30,product-30,243,268,140,205
31,product-31,117,138,208,167
32,product-32,100,192,56,152
33,product-33,82,109,205,22
34,product-34,195,245,41,223
35,product-35,90,171,87,105
36,product-36,182,253,217,107
37,product-37,166,231,39,134
38,product-38,151,191,141,218
39,product-39,68,101,73,36
40,product-40,173,192,239,77
41,product-41,18,103,211,167
42,product-42,154,202,127,130
43,product-43,132,146,258,138
44,product-44,225,289,134,203
45,product-45,42,49,9,96
46,product-46,102,141,161,166
47,product-47,88,142,139,151
48,product-48,189,211,58,12
49,product-49,31,39,185,158
50,product-50,87,169,177,206
51,product-51,198,263,55,171
52,product-52,224,280,207,163
53,product-53,135,184,98,122
54,product-54,63,152,152,171
55,product-55,36,69,85,269
56,product-56,214,244,39,197
57,product-57,172,218,182,190
58,product-58,83,116,142,134
59,product-59,196,268,7,54
60,product-60,111,115,125,163
61,product-61,28,97,196,146
62,product-62,133,212,45,201
63,product-63,180,246,199,214
64,product-64,3,63,97,106
65,product-65,154,207,16,138
66,product-66,205,227,168,45
67,product-67,204,264,80,183
68,product-68,126,144,134,162
69,product-69,71,84,231,175
70,product-70,191,202,153,40
71,product-71,139,209,112,72
72,product-72,43,96,22,15
73,product-73,77,111,77,163
74,product-74,187,195,59,125
75,product-75,161,169,112,164
76,product-76,70,117,119,23
77,product-77,219,292,154,201
78,product-78,53,58,239,170
79,product-79,134,201,81,204
80,product-80,180,186,62,104
81,product-81,101,194,36,85
82,product-82,190,262,124,150
83,product-83,115,161,142,96
84,product-84,135,205,22,82
85,product-85,31,43,21,55
86,product-86,106,140,23,120
87,product-87,64,86,204,131
88,product-88,218,218,224,91
89,product-89,108,116,173,99
90,product-90,198,257,163,132
91,product-91,158,182,125,188
92,product-92,140,160,182,135
93,product-93,166,218,124,165
94,product-94,97,114,87,109
95,product-95,39,73,74,178
96,product-96,120,121,163,50
97,product-97,112,172,211,196
98,product-98,108,199,28,198
99,product-99,68,84,107,128
100,product-100,103,128,93,89
