id,label,ts_in,ts_out,dim_0,dim_1
1,product-1,131,201,198,223
2,product-2,189,280,102,81
3,product-3,175,224,80,127
4,product-4,71,114,175,249
5,product-5,24,54,36,201
6,product-6,177,200,61,15
7,product-7,164,164,140,53
8,product-8,97,141,196,140
9,product-9,63,71,24,65
10,product-10,97,163,32,179
11,product-11,121,210,209,117
12,product-12,26,101,126,27
13,product-13,158,169,117,138
14,product-14,223,265,143,138
15,product-15,151,224,116,135
16,product-16,92,132,158,125
17,product-17,208,208,93,63
18,product-18,111,138,105,109
19,product-19,86,146,186,76
20,product-20,76,83,211,61
21,product-21,88,167,187,202
22,product-22,90,117,68,227
23,product-23,181,202,157,128
24,product-24,176,209,68,82
25,product-25,58,98,157,58
26,product-26,97,102,75,197
27,product-27,96,104,173,225
28,product-28,174,227,38,173
29,product-29,80,169,52,184
30,product-30,114,205,126,94
31,product-31,73,127,71,45
32,product-32,156,198,54,135
33,product-33,198,262,194,112
34,product-34,75,86,195,56
35,product-35,157,189,133,153
36,product-36,88,111,85,176
37,product-37,81,149,222,68
38,product-38,61,76,189,116
39,product-39,36,105,143,46
40,product-40,201,238,115,96
41,product-41,147,201,120,89
42,product-42,201,214,196,140
43,product-43,89,138,189,209
44,product-44,157,164,127,108
45,product-45,75,92,47,176
46,product-46,116,182,242,193
47,product-47,95,157,28,28
48,product-48,74,169,88,92
49,product-49,41,43,50,97
50,product-50,95,132,61,165
51,product-51,187,241,116,128
52,product-52,83,147,103,45
53,product-53,243,318,164,133
54,product-54,192,204,187,273
55,product-55,40,65,136,76
56,product-56,216,278,239,180
57,product-57,232,257,181,50
58,product-58,138,209,39,174
59,product-59,132,223,173,125
60,product-60,44,56,250,220
61,product-61,146,153,115,118
62,product-62,135,184,204,167
63,product-63,156,223,197,81
64,product-64,262,278,181,93
65,product-65,179,256,177,94
66,product-66,124,191,134,90
67,product-67,116,193,157,204
68,product-68,135,190,109,148
69,product-69,125,186,162,77
70,product-70,106,175,161,116
71,product-71,248,270,168,187
72,product-72,148,151,82,119
73,product-73,74,119,241,153
74,product-74,105,196,110,153
75,product-75,83,145,118,29
76,product-76,126,179,186,199
77,product-77,153,190,6,66
78,product-78,90,119,114,100
79,product-79,157,196,138,223
80,product-80,130,137,213,243
81,product-81,210,220,249,71
82,product-82,192,252,126,54
83,product-83,8,104,14,135
84,product-84,75,91,189,83
85,product-85,185,265,25,125
86,product-86,207,304,99,180
87,product-87,209,247,108,14
88,product-88,214,223,179,148
89,product-89,69,109,95,166
90,product-90,117,181,81,105
91,product-91,136,164,209,171
92,product-92,171,233,79,100
93,product-93,158,211,122,83
94,product-94,2,66,58,85
95,product-95,97,175,143,148
96,product-96,74,129,66,93
97,product-97,175,209,130,211
98,product-98,217,224,185,73
99,product-99,60,140,105,174
100,product-100,25,96,231,165
