id,label,ts_in,ts_out,dim_0,dim_1
1,customer-1,200,273,60,82
2,customer-2,41,49,37,209
3,customer-3,78,115,73,133
4,customer-4,26,31,71,78
5,customer-5,144,167,137,58
6,customer-6,38,43,131,172
7,customer-7,188,199,32,80
8,customer-8,120,210,94,144
9,customer-9,43,130,29,179
10,customer-10,111,156,47,89
11,customer-11,206,251,88,57
12,customer-12,183,227,66,54
13,customer-13,69,108,119,93
14,customer-14,237,269,88,178
15,customer-15,50,107,142,122
16,customer-16,144,190,141,124
17,customer-17,103,170,226,193
18,customer-18,151,155,88,191
19,customer-19,14,14,39,234
20,customer-20,259,292,72,49
21,customer-21,137,154,233,186
22,customer-22,135,174,78,50
23,customer-23,65,71,190,98
24,customer-24,198,275,90,199
25,customer-25,233,258,26,149
26,customer-26,180,183,117,134
27,customer-27,176,238,97,136
28,customer-28,111,205,136,61
29,customer-29,141,178,64,25
30,customer-30,167,181,76,129
31,customer-31,146,225,143,59
32,customer-32,126,199,145,176
33,customer-33,150,183,201,48
34,customer-34,184,186,101,68
35,customer-35,89,161,226,76
36,customer-36,51,93,47,142
37,customer-37,193,282,170,77
38,customer-38,55,140,127,90
39,customer-39,170,248,96,28
40,customer-40,130,131,118,124
41,customer-41,91,165,107,182
42,customer-42,152,173,156,96
43,customer-43,192,253,160,198
44,customer-44,86,144,4,64
45,customer-45,138,179,106,156
46,customer-46,103,159,102,91
47,customer-47,171,257,140,212
48,customer-48,14,63,273,106
49,customer-49,118,143,159,184
50,customer-50,200,271,204,58
51,customer-51,25,45,190,232
52,customer-52,152,178,161,185
53,customer-53,146,172,88,220
54,customer-54,99,142,215,207
55,customer-55,187,211,76,80
56,customer-56,18,116,203,132
57,customer-57,125,164,254,139
58,customer-58,88,156,30,139
59,customer-59,179,203,48,63
60,customer-60,112,143,179,173
61,customer-61,33,77,52,105
62,customer-62,194,274,198,159
63,customer-63,98,166,85,213
64,customer-64,34,60,99,85
65,customer-65,129,222,170,208
66,customer-66,11,62,224,217
67,customer-67,35,69,62,63
68,customer-68,53,132,84,181
69,customer-69,153,158,46,78
70,customer-70,182,232,84,259
71,customer-71,222,279,223,272
72,customer-72,113,168,77,199
73,customer-73,58,105,87,183
74,customer-74,153,157,177,58
75,customer-75,7,74,200,107
76,customer-76,100,136,113,217
77,customer-77,112,143,158,82
78,customer-78,198,293,208,108
79,customer-79,114,166,92,144
80,customer-80,74,99,161,37
81,customer-81,128,176,160,126
82,customer-82,238,315,205,161
83,customer-83,116,190,62,156
84,customer-84,228,288,132,185
85,customer-85,69,143,191,151
86,customer-86,127,146,115,62
87,customer-87,39,124,85,232
88,customer-88,128,188,131,195
89,customer-89,218,245,163,217
90,customer-90,218,269,49,78
91,customer-91,55,134,98,150
92,customer-92,200,271,133,160
93,customer-93,199,251,17,19
94,customer-94,196,247,191,51
95,customer-95,260,313,149,174
96,customer-96,175,219,208,143
97,customer-97,146,175,192,88
98,customer-98,154,205,181,124
99,customer-99,63,82,239,58
100,customer-100,175,193,98,89
101,customer-101,135,178,40,92
102,customer-102,84,100,22,216
103,customer-103,220,301,140,158
104,customer-104,78,85,165,142
105,customer-105,44,129,196,88
106,customer-106,27,122,18,248
107,customer-107,200,201,59,32
