id,label,ts_in,ts_out,dim_0,dim_1
1,product-1,160,213,197,4
2,product-2,78,129,58,60
3,product-3,69,151,187,91
4,product-4,160,250,168,231
5,product-5,75,169,52,78
6,product-6,237,301,49,74
7,product-7,125,184,208,6
8,product-8,200,282,171,131
9,product-9,204,205,201,71
10,product-10,93,123,10,116
11,product-11,59,114,84,193
12,product-12,155,214,150,22
13,product-13,106,170,183,115
14,product-14,95,187,34,76
15,product-15,158,245,203,44
16,product-16,259,298,95,161
17,product-17,223,260,32,156
18,product-18,32,66,109,203
19,product-19,199,266,172,165
20,product-20,81,139,182,200
21,product-21,118,178,43,51
22,product-22,105,190,219,182
23,product-23,98,129,45,20
24,product-24,190,240,222,167
25,product-25,6,83,35,172
26,product-26,150,168,201,120
27,product-27,91,157,96,105
28,product-28,178,218,50,24
29,product-29,199,225,8,83
30,product-30,140,174,166,161
31,product-31,64,68,189,111
32,product-32,199,259,58,41
33,product-33,177,185,28,159
34,product-34,52,65,201,179
35,product-35,170,195,53,70
36,product-36,30,104,188,214
37,product-37,170,234,29,105
38,product-38,171,176,100,53
39,product-39,80,120,181,240
40,product-40,237,252,30,163
41,product-41,277,351,188,121
42,product-42,165,227,156,189
43,product-43,96,140,91,191
44,product-44,160,209,216,212
45,product-45,54,129,145,213
46,product-46,60,156,138,31
47,product-47,182,258,211,169
48,product-48,125,160,115,204
49,product-49,152,162,42,156
50,product-50,195,197,143,167
51,product-51,117,195,169,40
52,product-52,161,247,46,218
53,product-53,26,121,191,40
54,product-54,113,146,195,48
55,product-55,199,280,72,159
56,product-56,68,157,133,264
57,product-57,73,88,107,29
58,product-58,52,113,235,176
59,product-59,167,183,212,148
60,product-60,110,166,100,22
61,product-61,171,201,96,214
62,product-62,94,190,106,147
63,product-63,210,235,146,98
64,product-64,127,135,183,19
65,product-65,79,156,146,70
66,product-66,163,241,104,25
67,product-67,22,53,36,116
68,product-68,62,149,85,161
69,product-69,143,209,237,33
70,product-70,199,225,15,150
71,product-71,31,109,208,109
72,product-72,182,251,191,122
73,product-73,174,203,82,138
74,product-74,44,76,112,223
75,product-75,27,71,112,210
76,product-76,104,127,228,179
77,product-77,208,261,117,227
78,product-78,172,233,175,124
79,product-79,17,41,152,60
80,product-80,219,285,201,96
81,product-81,298,369,115,145
82,product-82,101,109,133,226
83,product-83,119,151,31,157
84,product-84,85,99,129,138
85,product-85,174,183,282,123
86,product-86,145,167,187,123
87,product-87,28,78,18,60
88,product-88,224,266,119,213
89,product-89,54,88,63,216
90,product-90,200,293,230,81
91,product-91,10,94,174,79
92,product-92,118,193,207,76
93,product-93,101,128,38,168
94,product-94,33,113,119,139
95,product-95,98,190,106,212
96,product-96,75,154,213,61
97,product-97,70,115,84,156
98,product-98,157,172,133,92
99,product-99,70,141,153,131
100,product-100,175,208,161,155
101,product-101,140,146,122,197
102,product-102,178,200,138,98
103,product-103,18,114,127,49
104,product-104,170,245,92,181
105,product-105,36,109,182,208
106,product-106,45,97,63,96
107,product-107,42,54,166,200
108,product-108,90,152,68,158
109,product-109,221,262,103,93
110,product-110,207,207,201,46
111,product-111,153,194,173,140
112,product-112,130,200,128,110
113,product-113,192,243,26,94
114,product-114,127,188,97,34
115,product-115,263,279,35,130
116,product-116,20,79,65,36
117,product-117,82,96,164,190
118,product-118,195,196,28,141
119,product-119,42,92,42,209
120,product-120,52,112,44,97
121,product-121,97,106,195,208
122,product-122,197,233,54,86
123,product-123,243,272,104,60
124,product-124,136,206,178,140
125,product-125,150,212,95,83
126,product-126,115,154,65,196
127,product-127,37,117,127,144
128,product-128,128,170,165,178
129,product-129,161,204,31,107
130,product-130,46,100,227,150
131,product-131,112,141,40,94
132,product-132,208,255,179,124
133,product-133,41,47,90,127
134,product-134,91,130,130,138
135,product-135,95,144,92,63
136,product-136,45,124,145,155
137,product-137,85,126,200,40
138,product-138,204,204,185,106
139,product-139,215,281,92,34
140,product-140,84,180,120,43
141,product-141,66,127,134,21
142,product-142,86,86,189,181
143,product-143,22,117,46,151
144,product-144,54,106,185,143
145,product-145,172,200,130,106
146,product-146,165,221,75,29
147,product-147,63,90,65,186
148,product-148,59,101,14,51
149,product-149,62,66,156,233
150,product-150,43,132,40,83
151,product-151,63,79,159,67
152,product-152,189,250,186,152
153,product-153,252,276,178,195
154,product-154,135,194,169,268
155,product-155,114,182,116,60
156,product-156,209,240,225,120
157,product-157,165,233,195,202
158,product-158,136,183,102,44
159,product-159,204,250,218,36
160,product-160,129,189,86,138
161,product-161,233,259,130,205
162,product-162,99,176,132,142
163,product-163,186,207,100,192
164,product-164,69,84,140,64
165,product-165,175,235,34,109
166,product-166,53,91,142,113
167,product-167,88,170,103,13
168,product-168,142,206,93,105
169,product-169,17,77,145,134
170,product-170,101,146,56,170
171,product-171,117,133,96,197
172,product-172,127,204,132,135
173,product-173,21,105,176,78
174,product-174,159,207,15,125
175,product-175,88,138,41,142
176,product-176,6,20,120,244
177,product-177,154,168,243,195
178,product-178,62,71,152,256
179,product-179,143,229,188,104
180,product-180,73,129,119,158
181,product-181,110,179,151,76
182,product-182,58,133,138,78
183,product-183,37,126,140,212
184,product-184,209,276,175,69
185,product-185,59,117,115,142
186,product-186,153,172,44,125
187,product-187,76,118,28,181
188,product-188,141,229,90,132
189,product-189,73,161,172,206
190,product-190,70,135,177,36
191,product-191,110,191,92,87
192,product-192,58,110,53,148
193,product-193,45,95,189,183
194,product-194,85,144,128,123
195,product-195,46,112,199,27
196,product-196,62,105,206,124
197,product-197,213,267,232,105
198,product-198,38,132,210,17
199,product-199,190,235,46,87
200,product-200,12,102,111,197
201,product-201,37,73,30,147
202,product-202,105,169,83,191
203,product-203,153,156,119,97
204,product-204,236,237,134,100
205,product-205,211,296,245,205
206,product-206,88,148,89,15
207,product-207,201,281,67,89
208,product-208,95,152,160,164
209,product-209,118,141,186,197
210,product-210,112,169,84,30
211,product-211,218,308,214,93
212,product-212,115,154,12,48
213,product-213,144,217,129,31
214,product-214,73,124,105,103
215,product-215,128,178,97,168
216,product-216,152,215,105,12
217,product-217,129,204,95,197
218,product-218,61,75,186,107
219,product-219,161,213,142,121
220,product-220,41,115,141,52
221,product-221,202,290,143,136
222,product-222,70,111,177,57
223,product-223,52,94,143,105
224,product-224,158,172,149,211
225,product-225,100,110,139,109
226,product-226,65,142,99,154
227,product-227,71,139,37,160
228,product-228,191,278,170,185
229,product-229,120,201,135,118
230,product-230,230,249,200,52
231,product-231,123,201,202,69
232,product-232,244,331,96,103
233,product-233,35,113,78,164
234,product-234,116,121,254,168
235,product-235,123,212,66,142
236,product-236,93,123,109,69
237,product-237,47,56,15,202
238,product-238,101,149,124,195
239,product-239,95,139,174,162
240,product-240,120,157,178,70
241,product-241,72,108,66,96
242,product-242,37,123,258,41
243,product-243,225,294,114,212
244,product-244,177,205,173,135
245,product-245,144,229,102,159
246,product-246,150,163,64,156
247,product-247,90,157,130,24
248,product-248,160,247,153,26
249,product-249,88,177,48,214
250,product-250,179,193,72,70
251,product-251,187,222,184,117
252,product-252,190,199,205,51
253,product-253,106,107,133,215
254,product-254,37,122,104,197
255,product-255,214,230,79,108
256,product-256,58,82,149,112
257,product-257,188,247,70,106
258,product-258,28,30,227,221
259,product-259,190,281,148,133
260,product-260,153,226,38,33
261,product-261,98,127,127,111
262,product-262,213,303,94,99
263,product-263,187,227,219,210
264,product-264,20,31,61,27
265,product-265,44,49,151,94
266,product-266,192,259,82,208
267,product-267,214,225,113,144
268,product-268,200,285,60,163
269,product-269,155,238,53,157
270,product-270,171,261,97,190
271,product-271,191,202,137,177
272,product-272,115,171,130,30
273,product-273,139,195,38,104
274,product-274,131,198,149,203
275,product-275,110,167,188,81
276,product-276,185,266,104,205
277,product-277,126,209,152,179
278,product-278,177,223,98,136
279,product-279,190,247,152,39
280,product-280,264,306,222,108
281,product-281,227,276,189,77
282,product-282,125,179,54,172
283,product-283,88,103,104,262
284,product-284,169,230,153,167
285,product-285,132,178,43,101
286,product-286,230,272,92,88
