id,label,ts_in,ts_out,dim_0,dim_1
1,customer-1,164,198,97,46
2,customer-2,56,98,45,149
3,customer-3,67,86,74,69
4,customer-4,210,303,76,167
5,customer-5,258,261,10,33
6,customer-6,197,238,55,217
7,customer-7,171,192,42,201
8,customer-8,64,72,36,212
9,customer-9,166,194,274,205
10,customer-10,99,187,81,160
11,customer-11,43,58,90,124
12,customer-12,150,242,171,65
13,customer-13,173,227,108,90
14,customer-14,83,91,191,202
15,customer-15,78,171,160,103
16,customer-16,121,162,158,56
17,customer-17,189,213,162,215
18,customer-18,203,285,17,55
19,customer-19,76,85,167,85
20,customer-20,218,263,127,63
21,customer-21,93,93,188,113
22,customer-22,43,79,78,187
23,customer-23,82,88,118,134
24,customer-24,114,203,52,21
25,customer-25,148,171,9,206
26,customer-26,20,94,144,97
27,customer-27,166,224,142,104
28,customer-28,139,185,198,19
29,customer-29,153,198,95,46
30,customer-30,125,200,149,126
31,customer-31,190,196,55,140
32,customer-32,201,210,194,113
33,customer-33,163,255,67,81
34,customer-34,43,45,209,186
35,customer-35,209,215,264,69
36,customer-36,35,48,162,144
37,customer-37,182,196,140,211
38,customer-38,143,146,170,75
39,customer-39,41,61,39,100
40,customer-40,104,111,78,125
41,customer-41,177,206,139,151
42,customer-42,118,127,218,146
43,customer-43,197,239,126,213
44,customer-44,112,113,101,19
45,customer-45,202,202,182,58
46,customer-46,190,264,158,109
47,customer-47,188,281,30,84
48,customer-48,99,105,70,159
49,customer-49,193,235,203,19
50,customer-50,124,189,170,101
51,customer-51,179,184,165,140
52,customer-52,95,135,173,189
53,customer-53,65,161,63,65
54,customer-54,167,257,40,23
55,customer-55,170,171,199,112
56,customer-56,94,164,79,151
57,customer-57,180,190,178,113
58,customer-58,126,158,187,194
59,customer-59,123,175,162,167
60,customer-60,246,310,145,117
61,customer-61,42,119,27,166
62,customer-62,43,127,220,205
63,customer-63,120,202,75,123
64,customer-64,168,257,112,188
65,customer-65,74,85,192,224
66,customer-66,35,97,119,159
67,customer-67,231,250,96,41
68,customer-68,248,261,128,203
69,customer-69,275,329,196,117
70,customer-70,92,127,47,49
71,customer-71,30,74,96,194
72,customer-72,154,226,94,177
73,customer-73,126,190,151,183
74,customer-74,37,88,135,244
75,customer-75,121,197,52,137
76,customer-76,40,56,179,73
77,customer-77,204,297,30,46
78,customer-78,204,287,172,166
79,customer-79,102,124,149,142
80,customer-80,178,207,77,87
81,customer-81,92,127,47,115
82,customer-82,236,241,145,89
83,customer-83,208,292,224,17
84,customer-84,187,248,164,162
85,customer-85,62,141,188,6
86,customer-86,216,296,138,109
87,customer-87,151,179,153,211
88,customer-88,59,65,11,166
89,customer-89,205,250,124,179
90,customer-90,99,166,67,188
91,customer-91,84,131,229,29
92,customer-92,150,211,54,126
93,customer-93,129,219,92,211
94,customer-94,138,165,96,5
95,customer-95,139,165,141,173
96,customer-96,199,239,187,157
97,customer-97,106,120,244,82
98,customer-98,178,261,118,182
99,customer-99,64,101,146,204
100,customer-100,269,308,87,151
101,customer-101,100,176,268,228
102,customer-102,195,248,76,266
103,customer-103,90,163,175,196
104,customer-104,254,309,88,77
105,customer-105,43,93,122,48
106,customer-106,177,215,69,127
107,customer-107,57,69,179,212
108,customer-108,167,189,201,219
109,customer-109,177,258,146,130
110,customer-110,146,164,44,3
111,customer-111,174,243,49,53
112,customer-112,214,263,154,134
113,customer-113,35,97,218,157
114,customer-114,178,226,22,157
115,customer-115,199,223,178,103
116,customer-116,155,219,37,24
117,customer-117,117,162,41,83
118,customer-118,19,54,186,170
119,customer-119,167,240,199,121
120,customer-120,131,191,163,73
121,customer-121,57,130,22,22
122,customer-122,18,27,218,54
123,customer-123,234,318,90,171
124,customer-124,204,276,193,184
125,customer-125,107,204,38,74
126,customer-126,82,139,150,193
127,customer-127,84,148,133,184
128,customer-128,122,172,174,88
129,customer-129,215,235,36,145
