id,label,ts_in,ts_out,dim_0,dim_1
1,product-1,133,163,118,155
2,product-2,60,92,167,56
3,product-3,260,289,228,154
4,product-4,159,241,236,179
5,product-5,20,32,120,160
6,product-6,168,259,9,189
7,product-7,207,218,85,147
8,product-8,97,138,122,172
9,product-9,28,57,73,115
10,product-10,128,156,141,121
11,product-11,211,239,13,83
12,product-12,221,230,146,141
13,product-13,140,213,25,126
14,product-14,178,247,49,135
15,product-15,112,158,80,71
16,product-16,119,158,132,105
17,product-17,232,264,92,59
18,product-18,4,30,180,109
19,product-19,195,217,75,145
20,product-20,144,227,87,161
21,product-21,30,48,45,94
22,product-22,103,106,151,81
23,product-23,50,93,197,187
24,product-24,113,128,86,189
25,product-25,60,123,182,64
26,product-26,187,194,62,228
27,product-27,178,178,205,154
28,product-28,211,228,158,42
29,product-29,195,252,64,225
30,product-30,234,275,51,13
31,product-31,105,146,133,102
32,product-32,182,226,218,30
33,product-33,121,205,95,161
34,product-34,11,63,252,188
35,product-35,146,171,179,45
36,product-36,61,79,177,226
37,product-37,141,173,152,38
38,product-38,157,213,33,162
39,product-39,26,94,105,91
40,product-40,8,106,38,248
41,product-41,140,224,115,152
42,product-42,11,37,204,162
43,product-43,61,108,104,28
44,product-44,109,157,196,76
45,product-45,24,62,209,77
46,product-46,244,314,143,69
47,product-47,173,239,164,169
48,product-48,188,199,140,155
49,product-49,122,158,229,91
50,product-50,218,310,118,41
51,product-51,200,205,142,48
52,product-52,40,85,96,9
53,product-53,154,159,20,218
54,product-54,156,159,97,245
55,product-55,140,172,220,82
56,product-56,179,189,94,74
57,product-57,245,308,84,29
58,product-58,58,101,19,130
59,product-59,112,183,67,33
60,product-60,79,109,146,32
61,product-61,79,100,28,182
62,product-62,112,112,159,39
63,product-63,125,125,34,200
64,product-64,140,144,109,105
65,product-65,7,60,115,27
66,product-66,54,138,144,117
67,product-67,98,140,195,108
68,product-68,71,111,162,144
69,product-69,181,257,32,122
70,product-70,192,241,58,154
71,product-71,116,182,135,71
72,product-72,215,285,20,220
73,product-73,35,101,108,142
74,product-74,187,190,181,182
75,product-75,187,187,29,158
76,product-76,119,120,157,253
77,product-77,37,90,200,140
78,product-78,152,162,191,131
79,product-79,9,86,74,227
80,product-80,142,153,155,150
81,product-81,167,171,176,77
82,product-82,79,108,24,47
83,product-83,131,195,151,161
84,product-84,155,241,222,101
85,product-85,201,258,215,196
86,product-86,95,103,50,89
87,product-87,45,128,178,37
88,product-88,176,254,62,214
89,product-89,104,202,256,151
90,product-90,100,114,25,96
91,product-91,83,113,63,99
92,product-92,85,179,163,79
93,product-93,112,147,135,89
94,product-94,108,130,167,162
95,product-95,170,256,100,123
96,product-96,179,189,153,50
97,product-97,149,211,24,176
98,product-98,178,275,40,124
99,product-99,144,167,230,115
100,product-100,203,246,33,110
101,product-101,191,247,68,164
102,product-102,244,249,116,71
103,product-103,15,89,143,50
104,product-104,49,105,128,107
105,product-105,198,224,189,79
106,product-106,28,50,141,155
107,product-107,47,103,230,136
108,product-108,188,261,100,140
109,product-109,196,240,190,49
110,product-110,225,283,50,94
111,product-111,165,173,51,209
112,product-112,214,225,164,37
113,product-113,116,140,54,34
114,product-114,69,93,52,68
115,product-115,112,173,154,151
116,product-116,117,156,110,98
117,product-117,213,232,29,131
118,product-118,193,211,99,157
119,product-119,172,222,60,88
120,product-120,122,155,6,262
121,product-121,116,205,170,40
122,product-122,83,107,235,178
123,product-123,103,161,9,98
124,product-124,228,302,106,102
125,product-125,44,47,43,138
126,product-126,85,176,130,7
127,product-127,128,188,153,114
128,product-128,55,78,232,252
129,product-129,66,128,129,160
130,product-130,199,227,86,8
131,product-131,95,179,87,111
132,product-132,88,90,221,26
133,product-133,68,94,74,243
134,product-134,26,26,216,35
135,product-135,150,205,130,87
136,product-136,172,238,53,54
137,product-137,7,60,51,65
138,product-138,173,244,266,205
139,product-139,55,71,109,145
140,product-140,60,86,135,163
141,product-141,147,179,30,239
142,product-142,154,162,74,37
143,product-143,157,216,193,86
144,product-144,186,192,140,34
145,product-145,89,171,188,217
146,product-146,185,201,129,171
147,product-147,93,160,103,221
148,product-148,34,77,40,103
149,product-149,177,263,98,157
150,product-150,38,73,182,222
151,product-151,51,137,30,162
152,product-152,81,146,167,26
153,product-153,231,262,26,35
154,product-154,79,100,147,198
155,product-155,12,54,211,55
156,product-156,98,172,141,82
157,product-157,171,211,169,181
158,product-158,96,168,11,251
159,product-159,19,83,184,113
160,product-160,111,139,79,70
161,product-161,119,210,151,127
162,product-162,112,195,81,115
163,product-163,199,259,181,112
164,product-164,201,235,131,112
165,product-165,185,215,147,169
166,product-166,158,166,180,208
167,product-167,159,219,106,43
168,product-168,48,104,136,94
169,product-169,147,240,202,104
170,product-170,56,94,101,257
171,product-171,215,282,137,230
172,product-172,112,157,131,189
173,product-173,120,173,121,73
174,product-174,19,80,235,170
175,product-175,166,198,91,101
176,product-176,64,91,94,131
177,product-177,176,258,71,132
178,product-178,104,141,64,9
179,product-179,124,166,103,66
180,product-180,78,116,176,145
181,product-181,152,207,230,96
182,product-182,191,244,150,23
183,product-183,102,163,106,167
184,product-184,161,187,109,124
185,product-185,105,109,40,91
186,product-186,200,230,215,83
187,product-187,63,154,165,140
188,product-188,45,134,98,2
189,product-189,88,147,195,96
190,product-190,107,137,33,82
191,product-191,97,186,187,106
192,product-192,84,121,166,167
193,product-193,45,143,107,149
194,product-194,48,72,109,143
195,product-195,148,180,67,59
196,product-196,64,78,136,184
197,product-197,149,200,196,151
198,product-198,93,117,119,104
199,product-199,60,137,244,204
200,product-200,119,202,105,64
201,product-201,252,284,81,84
202,product-202,68,151,214,123
203,product-203,124,170,36,59
204,product-204,61,93,164,216
205,product-205,117,129,30,183
206,product-206,176,244,125,231
207,product-207,154,209,164,51
208,product-208,121,133,150,98
209,product-209,149,229,56,220
210,product-210,99,137,93,64
211,product-211,179,244,216,228
212,product-212,193,229,105,113
213,product-213,200,256,144,93
214,product-214,154,165,172,64
215,product-215,173,261,226,170
216,product-216,141,217,172,229
217,product-217,128,190,25,214
218,product-218,139,155,106,178
219,product-219,41,70,152,204
220,product-220,97,172,160,207
221,product-221,57,141,51,113
222,product-222,232,312,214,222
223,product-223,100,103,204,164
224,product-224,282,292,168,291
225,product-225,175,197,271,115
226,product-226,149,207,42,58
227,product-227,112,127,61,59
228,product-228,84,174,155,49
229,product-229,31,87,129,165
230,product-230,45,84,100,189
231,product-231,73,130,58,33
232,product-232,190,202,51,123
233,product-233,240,267,63,126
234,product-234,152,207,64,190
235,product-235,136,223,145,188
236,product-236,36,69,76,134
237,product-237,63,112,158,124
238,product-238,103,130,140,68
239,product-239,137,197,178,65
240,product-240,71,140,189,94
241,product-241,169,207,196,105
242,product-242,173,192,161,157
243,product-243,181,251,55,89
244,product-244,104,144,9,150
245,product-245,122,204,30,180
246,product-246,190,230,176,173
247,product-247,43,121,126,138
248,product-248,201,289,177,33
249,product-249,102,139,264,135
250,product-250,172,220,86,143
251,product-251,202,233,207,34
252,product-252,123,201,181,102
253,product-253,99,148,71,71
254,product-254,151,168,216,213
255,product-255,77,115,64,89
256,product-256,137,153,190,74
257,product-257,184,246,109,69
258,product-258,128,202,161,44
259,product-259,55,147,104,99
260,product-260,202,291,91,112
261,product-261,194,276,62,83
262,product-262,8,31,98,159
263,product-263,116,139,63,83
264,product-264,176,249,200,196
265,product-265,16,58,51,162
266,product-266,71,137,91,143
267,product-267,129,191,54,194
268,product-268,97,126,121,213
269,product-269,250,287,21,98
270,product-270,85,166,188,205
271,product-271,132,223,108,136
272,product-272,50,92,11,166
273,product-273,137,142,147,234
274,product-274,76,114,115,167
275,product-275,78,167,215,84
276,product-276,3,26,134,56
277,product-277,179,200,85,70
278,product-278,202,281,160,130
279,product-279,77,116,65,94
280,product-280,212,268,122,82
281,product-281,189,268,283,201
282,product-282,61,120,92,91
283,product-283,141,201,277,131
284,product-284,169,247,21,223
285,product-285,94,121,99,132
286,product-286,100,172,157,180
287,product-287,136,178,107,39
288,product-288,218,272,123,225
289,product-289,159,250,167,56
290,product-290,105,138,206,64
291,product-291,220,282,78,162
292,product-292,161,216,136,106
293,product-293,159,175,241,31
294,product-294,94,127,140,182
295,product-295,136,226,188,106
296,product-296,179,210,80,106
297,product-297,95,101,67,225
298,product-298,116,121,96,119
299,product-299,20,107,66,189
300,product-300,178,185,147,75
301,product-301,73,88,28,186
302,product-302,66,100,172,74
303,product-303,258,339,233,207
304,product-304,53,77,83,202
305,product-305,58,132,120,172
306,product-306,220,265,207,101
307,product-307,197,262,100,154
308,product-308,146,179,161,101
309,product-309,153,184,19,119
310,product-310,154,169,118,160
311,product-311,179,187,219,100
312,product-312,195,230,22,114
313,product-313,191,255,146,52
314,product-314,189,189,135,156
315,product-315,179,228,42,99
316,product-316,104,164,152,123
317,product-317,249,329,210,153
318,product-318,44,100,96,69
319,product-319,63,106,230,59
320,product-320,176,261,150,51
321,product-321,179,271,241,42
322,product-322,113,188,127,121
323,product-323,236,249,202,10
324,product-324,216,263,60,104
325,product-325,110,150,55,223
326,product-326,178,251,28,215
327,product-327,110,194,9,41
328,product-328,50,69,113,61
329,product-329,175,234,21,119
330,product-330,6,6,53,118
331,product-331,65,97,105,50
332,product-332,16,100,161,186
333,product-333,141,180,208,162
334,product-334,173,234,151,128
335,product-335,69,76,217,205
336,product-336,145,164,203,32
337,product-337,48,60,123,161
338,product-338,116,151,124,196
339,product-339,3,63,37,137
340,product-340,143,154,86,173
341,product-341,209,230,176,132
342,product-342,29,70,159,126
343,product-343,61,65,195,170
344,product-344,167,250,200,180
345,product-345,124,192,44,162
346,product-346,1,13,110,87
